Abbreviation,Name
BOS,Boston Celtics
BKN,Brooklyn Nets
NY,New York Knicks
PHI,Philadelphia 76ers
TOR,Toronto Raptors
GS,Golden State Warriors
LAC,Los Angeles Clippers
LAL,Los Angeles Lakers
PHX,Phoenix Suns
SAC,Sacramento Kings
CHI,Chicago Bulls
CLE,Cleveland Cavaliers
DET,Detroit Pistons
IND,Indiana Pacers
MIL,Milwaukee Bucks
DAL,Dallas Mavericks
HOU,Houston Rockets
MEM,Memphis Grizzlies
NO,New Orleans Hornets
SA,San Antonio Spurs
ATL,Atlanta Hawks
CHA,Charlotte Bobcats
MIA,Miami Heat
ORL,Orlando Magic
WSH,Washington Wizards
DEN,Denver Nuggets
MIN,Minnesota Timberwolves
OKC,Oklahoma City Thunder
POR,Portland Trail Blazers
UTA,Utah Jazz